,default_0,default_time_0,min_weight_0,min_weight_time_0,max_value_0,max_value_time_0,max_ratio_0,max_ratio_time_0,hyperheuristic_0,hyperheuristic_time_0,hyperheuristic_1,hyperheuristic_time_1,hyperheuristic_2,hyperheuristic_time_2,hyperheuristic_3,hyperheuristic_time_3,hyperheuristic_4,hyperheuristic_time_4,hyperheuristic_5,hyperheuristic_time_5,hyperheuristic_6,hyperheuristic_time_6,hyperheuristic_7,hyperheuristic_time_7,hyperheuristic_8,hyperheuristic_time_8,hyperheuristic_9,hyperheuristic_time_9
21,14797.0,0.002615399999967849,15150.0,0.0033001000001604552,13566.0,0.0018341999998483516,15162.0,0.0034717999999429594,15162.0,4.180593699999918,15162.0,5.781037799999922,15162.0,4.280926500000078,15150.0,3.490840100000014,15150.0,4.240749700000151,15162.0,4.026591199999984,15214.0,4.831439799999998,15162.0,6.829729499999985,15150.0,3.7263057000000117,15162.0,4.08302690000005
22,16693.0,0.00239200000009987,17042.0,0.003260400000044683,15598.0,0.0019566999999369727,17054.0,0.003440499999896929,17042.0,4.267261299999973,17228.0,7.586993200000052,17054.0,4.042022399999951,17042.0,3.2728985000001103,17042.0,4.389433800000006,17054.0,3.9366909000000305,17042.0,3.501420199999984,17042.0,4.190855499999998,17054.0,4.433300599999939,17054.0,3.951266799999985
23,13741.0,0.002426000000014028,14547.0,0.003306999999949767,12738.0,0.0018735000001015578,14547.0,0.004661200000100507,14547.0,4.380820399999948,14664.0,6.372298800000181,14547.0,3.9659935999998197,14547.0,3.7319387000000006,14547.0,4.390590599999996,14547.0,4.340159500000027,14547.0,4.434168499999942,14547.0,6.901155700000118,14547.0,3.5384094000000914,14547.0,4.00017969999999
24,16376.0,0.002420299999812414,16916.0,0.003211699999837947,15354.0,0.0019330999998601328,16922.0,0.0034434999997756677,16922.0,5.045504700000038,16916.0,3.95465460000014,16922.0,4.030604199999971,16922.0,4.3838817000000745,16916.0,4.186861800000088,16922.0,3.7334356999999727,16922.0,4.742972000000009,16916.0,3.4886270999998032,16916.0,4.333486699999867,16916.0,3.5064441000001807
25,13741.0,0.002728200000092329,14376.0,0.003309400000034657,12776.0,0.0018428999999287043,14376.0,0.003455199999962133,14376.0,4.095048799999859,14376.0,4.500481900000068,14376.0,4.0074611,14376.0,4.01809430000003,14376.0,4.58619449999992,14376.0,3.9059945999999854,14376.0,4.229289999999992,14715.0,7.45557389999999,14376.0,3.6643607999999404,14376.0,3.85443650000002
26,15362.0,0.002587599999969825,16286.0,0.0031954000000951055,14556.0,0.001843999999891821,16286.0,0.003380699999979697,16286.0,4.032756099999915,16286.0,4.00573559999998,16286.0,3.6742653999999675,16286.0,3.622409899999866,16286.0,4.3954691999999795,16286.0,3.7097722999999405,16286.0,4.1858760000000075,16286.0,4.067542199999934,16286.0,3.891597400000137,16286.0,3.6877503999999135
27,15741.0,0.0017322999999578315,16259.0,0.003239900000153284,14934.0,0.0019543000000794564,16259.0,0.003476399999954083,16259.0,3.742702999999892,16259.0,3.785585000000083,16259.0,4.099677100000008,16259.0,4.095504900000151,16259.0,3.9005293000000165,16259.0,3.576503999999886,16259.0,3.7372786999999335,16259.0,4.787125999999944,16259.0,3.7837359000000106,16259.0,3.56166230000008
28,13255.0,0.0028724000001147942,14114.0,0.003333899999915957,11974.0,0.0016812999999729072,14114.0,0.003567500000144719,14114.0,3.9104041000000507,14114.0,4.190580500000124,14114.0,4.772078599999986,14139.0,4.638057500000059,14114.0,4.462565499999982,14114.0,4.13853210000002,14114.0,3.661479399999962,14114.0,8.73358270000017,14114.0,3.7264380999999958,14114.0,4.148437899999863
29,14804.0,0.0025632000001678534,15356.0,0.00320400000009613,13682.0,0.0019320999999763444,15356.0,0.003427099999953498,15356.0,3.8004676000000472,15356.0,5.627538400000049,15356.0,3.6117982000000666,15356.0,4.958681899999874,15356.0,4.4132847000000766,15356.0,3.585035600000083,15356.0,3.761539800000037,15356.0,5.856153800000129,15356.0,3.8045841999999084,15356.0,3.6217063000001417
30,15717.0,0.0024425000001429,16037.0,0.003258500000129061,14625.0,0.0018993999999565858,16037.0,0.0033738000001903856,16037.0,3.734739799999943,16037.0,4.400544100000161,16037.0,3.660966099999996,16037.0,3.5896586000001207,16037.0,3.9169937000001482,16037.0,3.830784900000026,16037.0,4.195897100000138,16037.0,4.393411900000046,16037.0,3.501618100000087,16037.0,3.4472557999999935
31,14479.0,0.0026116999999885593,14889.0,0.0033373999999639636,13015.0,0.0018044999999347056,14889.0,0.0035477999999784515,14889.0,4.339213099999824,14889.0,4.698547100000042,14889.0,3.6146819999999025,14889.0,4.120388000000048,14889.0,4.543844699999909,14889.0,3.7814461000000392,14889.0,4.091037600000163,14889.0,5.327220299999908,14889.0,4.935997599999837,14889.0,4.094396299999971
32,13703.0,0.0023871999999300897,14217.0,0.0033346999998684623,12720.0,0.0016742999998768937,14217.0,0.0034904999999980646,14217.0,3.6362177999999403,14217.0,3.4880415999998604,14217.0,3.8127225000000635,14217.0,4.128679500000089,14217.0,3.599298299999873,14217.0,3.5622816999998577,14217.0,4.383719699999801,14217.0,5.3850261999998565,14217.0,3.680606700000226,14217.0,3.65756569999985
33,14485.0,0.0027582000000165863,15323.0,0.003306600000087201,13704.0,0.0018815999999333144,15324.0,0.003475199999911638,15324.0,5.946459499999946,15561.0,9.514907699999867,15324.0,5.057645500000035,15324.0,5.218292499999961,15488.0,7.27368690000003,15324.0,5.12420619999989,15324.0,6.0464741999999205,15324.0,5.6522979000001214,15324.0,4.19403669999997,15324.0,5.248085499999888
34,15786.0,0.0027674000000388332,16638.0,0.0032163999999283988,14877.0,0.0019509999999627325,16638.0,0.0034474999999929423,16638.0,3.8304102000001876,16638.0,4.016549999999825,16638.0,3.483123100000057,16638.0,3.7663320000001477,16638.0,4.5941978000000745,16638.0,3.7906434000001354,16638.0,3.793497600000137,16638.0,4.352410699999837,16638.0,4.399179800000184,16638.0,3.551024200000029
